Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,0.503250003,0.507000029,0.495249987,0.503250003,0.482423007,113680000
1/5/2015,0.503250003,0.504750013,0.492500007,0.494749993,0.474274874,197952000
1/6/2015,0.495499998,0.495999992,0.479250014,0.479750007,0.459895581,197764000
1/7/2015,0.483249992,0.487500012,0.476999998,0.478500009,0.458697349,321808000
1/8/2015,0.483999997,0.499500006,0.483749986,0.496499985,0.475952417,283780000
1/9/2015,0.498250008,0.502250016,0.49149999,0.49849999,0.47786963,209540000
1/12/2015,0.499749988,0.5,0.487749994,0.492249995,0.47187826,190732000
1/13/2015,0.495999992,0.505999982,0.488000005,0.49149999,0.47115919,236720000
1/14/2015,0.486250013,0.495000005,0.485000014,0.493499994,0.473076522,155260000
1/15/2015,0.497000009,0.5,0.489749998,0.49000001,0.469721287,188932000
1/16/2015,0.489250004,0.499500006,0.487749994,0.499000013,0.478348941,181512000
1/20/2015,0.502499998,0.505249977,0.49425,0.500500023,0.479786843,140308000
1/21/2015,0.497750014,0.508750021,0.49425,0.507499993,0.486497194,144780000
1/22/2015,0.50849998,0.517750025,0.503250003,0.516250014,0.494884878,159712000
1/23/2015,0.516749978,0.518750012,0.512499988,0.517750025,0.496323079,120416000
1/26/2015,0.515500009,0.518000007,0.512250006,0.515500009,0.494165987,133240000
1/27/2015,0.507499993,0.508000016,0.489749998,0.490750015,0.470440298,357948000
1/28/2015,0.496749997,0.498750001,0.482499987,0.482749999,0.462771475,272728000
1/29/2015,0.48300001,0.497249991,0.480749995,0.494500011,0.474035144,235340000
1/30/2015,0.490999997,0.496749997,0.479250014,0.479999989,0.460135251,298200000
2/2/2015,0.48300001,0.492500007,0.473500013,0.490500003,0.470200688,259604000
2/3/2015,0.493999988,0.503250003,0.49149999,0.502749979,0.481943637,183468000
2/4/2015,0.501250029,0.509750009,0.499749988,0.504000008,0.483142018,181516000
2/5/2015,0.504499972,0.512499988,0.504000008,0.512250006,0.491050512,140448000
2/6/2015,0.511749983,0.517750025,0.507749975,0.50999999,0.488893747,210524000
2/9/2015,0.507000029,0.510999978,0.503750026,0.509500027,0.488414317,273944000
2/10/2015,0.50999999,0.523999989,0.507749975,0.523750007,0.502074838,226204000
2/11/2015,0.524999976,0.524999976,0.516749978,0.520250022,0.498719364,320832000
2/12/2015,0.550000012,0.5625,0.546750009,0.557500005,0.534427881,676904000
2/13/2015,0.556249976,0.558499992,0.547749996,0.557749987,0.534667432,310084000
2/17/2015,0.55675,0.562250018,0.553250015,0.559499979,0.536344826,203340000
2/18/2015,0.558749974,0.559750021,0.551999986,0.552999973,0.530114114,170948000
2/19/2015,0.560000002,0.56099999,0.551999986,0.554499984,0.531551898,169432000
2/20/2015,0.55400002,0.558749974,0.550000012,0.558499992,0.535386443,157752000
2/23/2015,0.55825001,0.55825001,0.551249981,0.55400002,0.531072974,125008000
2/24/2015,0.55400002,0.557749987,0.549000025,0.557749987,0.536726236,149356000
